timestamp,node,name,seq,vrms,irms,p,rssi,snr,ferr,status
2026-06-27 13:16:53,1,NODO_1,2984,220.5,3.25,716.63,-33.0,12.75,-209.25,OK
2026-06-27 13:16:55,2,NODO_2,2986,219.8,1.8,395.64,-35.0,12.5,23.25,OK
2026-06-27 13:16:55,1,NODO_1,2985,220.5,3.25,716.63,-34.0,13.0,-209.25,OK
2026-06-27 13:16:57,2,NODO_2,2987,219.8,1.8,395.64,-43.0,12.5,23.25,OK
2026-06-27 13:16:57,1,NODO_1,2986,220.5,3.25,716.63,-31.0,13.25,-209.25,OK
2026-06-27 13:16:59,2,NODO_2,2988,219.8,1.8,395.64,-37.0,12.5,23.25,OK
2026-06-27 13:16:59,1,NODO_1,2987,220.5,3.25,716.63,-30.0,12.25,-209.25,OK
2026-06-27 13:17:01,2,NODO_2,2989,219.8,1.8,395.64,-39.0,12.25,23.25,OK
2026-06-27 13:17:01,1,NODO_1,2988,220.5,3.25,716.63,-29.0,12.0,-193.75,OK
2026-06-27 13:17:03,2,NODO_2,2990,219.8,1.8,395.64,-39.0,12.5,23.25,OK
2026-06-27 13:17:03,1,NODO_1,2989,220.5,3.25,716.63,-29.0,13.25,-209.25,OK
2026-06-27 13:17:05,2,NODO_2,2991,219.8,1.8,395.64,-39.0,12.0,23.25,OK
2026-06-27 13:17:05,1,NODO_1,2990,220.5,3.25,716.63,-32.0,13.0,-193.75,OK
2026-06-27 13:17:07,2,NODO_2,2992,219.8,1.8,395.64,-40.0,13.0,23.25,OK
2026-06-27 13:17:07,1,NODO_1,2991,220.5,3.25,716.63,-31.0,12.75,-193.75,OK
2026-06-27 13:17:09,2,NODO_2,2993,219.8,1.8,395.64,-38.0,13.0,23.25,OK
2026-06-27 13:17:09,1,NODO_1,2992,220.5,3.25,716.63,-30.0,12.5,-209.25,OK
2026-06-27 13:17:11,2,NODO_2,2994,219.8,1.8,395.64,-38.0,13.0,23.25,OK
2026-06-27 13:17:11,1,NODO_1,2993,220.5,3.25,716.63,-30.0,12.0,-193.75,OK
2026-06-27 13:17:13,2,NODO_2,2995,219.8,1.8,395.64,-37.0,12.0,23.25,OK
2026-06-27 13:17:13,1,NODO_1,2994,220.5,3.25,716.63,-30.0,12.5,-193.75,OK
2026-06-27 13:17:15,2,NODO_2,2996,219.8,1.8,395.64,-36.0,12.5,23.25,OK
2026-06-27 13:17:15,1,NODO_1,2995,220.5,3.25,716.63,-31.0,12.25,-193.75,OK
2026-06-27 13:17:17,2,NODO_2,2997,219.8,1.8,395.64,-34.0,12.0,23.25,OK
2026-06-27 13:17:17,1,NODO_1,2996,220.5,3.25,716.63,-27.0,12.75,-209.25,OK
2026-06-27 13:17:19,2,NODO_2,2998,219.8,1.8,395.64,-40.0,12.5,23.25,OK
2026-06-27 13:17:19,1,NODO_1,2997,220.5,3.25,716.63,-27.0,11.75,-193.75,OK
2026-06-27 13:17:21,2,NODO_2,2999,219.8,1.8,395.64,-40.0,12.5,23.25,OK
2026-06-27 13:17:21,1,NODO_1,2998,220.5,3.25,716.63,-28.0,12.0,-193.75,OK
2026-06-27 13:17:23,2,NODO_2,3000,219.8,1.8,395.64,-40.0,12.5,23.25,OK
2026-06-27 13:17:23,1,NODO_1,2999,220.5,3.25,716.63,-27.0,12.0,-209.25,OK
2026-06-27 13:17:25,2,NODO_2,3001,219.8,1.8,395.64,-38.0,13.0,23.25,OK
2026-06-27 13:17:25,1,NODO_1,3000,220.5,3.25,716.63,-27.0,12.25,-193.75,OK
2026-06-27 13:34:19,2,NODO_2,3508,219.8,1.8,395.64,-44.0,12.25,23.25,OK
